1.431699	1.504920	i
1.957508	2.028691	i
2.093112	2.206545	x
2.234604	2.437365	y
2.548741	2.666542	x
2.823385	2.874394	j
2.910565	2.961544	a
2.992369	3.192730	b
3.223554	3.317214	c
3.351596	3.519946	d
3.555015	3.604940	e
3.638482	3.684506	f
3.713368	3.855340	g
3.892518	4.061012	d
4.099235	4.146819	e
4.182702	4.228725	f
4.255247	4.397999	g
4.433882	4.600816	d
4.637479	4.685843	e
7.296224	7.361858	i
7.409511	7.506614	x
7.539881	7.740381	y
7.785336	7.832089	j
7.864457	7.920201	a
7.943578	8.150372	b
8.185437	8.275347	c
8.308614	8.479444	d
8.516207	8.564640	e
8.594984	8.649254	f
8.674929	8.809143	g
8.851707	9.022100	d
9.056529	9.108464	e
9.141142	9.188409	f
9.217003	9.355885	g
9.465663	9.671640	b
9.705626	9.803465	c
9.825092	10.002232	d
10.036219	10.086683	e
10.124789	10.174223	f
10.195851	10.344154	g
10.451262	10.660328	b
10.691225	10.780825	c
10.814811	10.985771	d
33.241336	33.319192	i
34.629015	34.702292	i
35.455289	35.527040	i
35.559098	35.665960	x
35.698019	35.907163	y
46.241029	46.315319	i
47.029228	47.098083	i
47.761257	47.895342	x
47.924333	48.130896	y
48.185254	48.295783	x
48.688270	48.742530	j
48.775085	48.833686	a
48.859730	49.061576	b
49.095217	49.188544	c
49.221100	49.392560	d
49.425116	49.478290	e
49.509761	49.559680	f
49.584639	49.726800	g
49.759355	49.936242	d
49.972053	50.021972	e
50.058869	50.105532	f
59.510900	59.581437	i
60.035048	60.097989	i
70.272785	70.332859	k
89.393763	89.468256	i
96.652005	96.756535	x
97.560336	97.634829	i
98.020510	98.088995	i
98.149070	98.257205	x
98.288443	98.496302	y
98.933647	99.048991	x
99.079028	99.279678	y
99.327738	99.378201	j
99.414246	99.465910	a
99.491142	99.697799	b
99.727837	99.821553	c
99.851591	100.028211	d
100.066659	100.114719	e
100.150763	100.196420	f
100.222853	100.367033	g
100.399473	100.571287	d
100.608534	100.658997	e
100.691437	100.735892	f
100.767131	100.910109	g
100.942550	101.116767	d
101.151610	101.202073	e
115.491474	115.565967	i
115.652475	115.760609	x
116.004513	116.128268	x
116.140282	116.346940	y
116.726613	116.778277	j
116.811919	116.869591	a
116.896024	117.099077	b
117.131517	117.225234	c
117.254070	117.429489	d
117.458324	117.515996	e
117.548437	117.598900	f
117.627735	117.770714	g
117.804356	117.971364	d
118.005005	118.057871	e
118.086707	118.133566	f
118.159999	118.305380	g
118.408708	118.616567	b
118.652612	118.741523	c
118.770359	118.948180	d
118.980621	119.033487	e
119.069532	119.119994	f
119.141621	119.291809	g
119.324249	119.492458	d
119.527302	119.583772	e
121.351174	121.413652	i
121.459309	121.566242	x
121.596279	121.792123	y
121.840183	121.889445	j
121.925489	121.978355	a
122.002385	122.206640	b
122.242685	122.335200	c
122.365237	122.538253	d
122.571895	122.624761	e
122.654798	122.702858	f
122.728089	122.872269	g
122.902306	123.078926	d
123.112568	123.165434	e
123.197875	123.247136	f
123.274770	123.414144	g
123.522279	123.733742	b
123.768585	123.862302	c
123.889268	124.068032	d
126.459219	126.527487	i
126.692879	126.796337	x
126.840676	127.034923	y
134.277673	134.345238	i
134.416321	134.526113	x
134.561303	134.768922	y
